label,type,symbol,H,B,tw,tf,r
SHH,スーパーハイスレンドH,SH,800,400,16,25,18
SHH,スーパーハイスレンドH,SH,800,400,16,28,18
SHH,スーパーハイスレンドH,SH,800,400,16,32,18
SHH,スーパーハイスレンドH,SH,800,400,16,36,18
SHH,スーパーハイスレンドH,SH,800,400,19,28,18
SHH,スーパーハイスレンドH,SH,800,400,19,32,18
SHH,スーパーハイスレンドH,SH,800,400,19,36,18
SHH,スーパーハイスレンドH,SH,800,400,19,40,18
SHH,スーパーハイスレンドH,SH,850,250,14,22,18
SHH,スーパーハイスレンドH,SH,850,250,14,25,18
SHH,スーパーハイスレンドH,SH,850,250,14,28,18
SHH,スーパーハイスレンドH,SH,850,250,16,22,18
SHH,スーパーハイスレンドH,SH,850,250,16,25,18
SHH,スーパーハイスレンドH,SH,850,250,16,28,18
SHH,スーパーハイスレンドH,SH,850,250,16,32,18
SHH,スーパーハイスレンドH,SH,850,300,14,22,18
SHH,スーパーハイスレンドH,SH,850,300,14,25,18
SHH,スーパーハイスレンドH,SH,850,300,14,28,18
SHH,スーパーハイスレンドH,SH,850,300,16,22,18
SHH,スーパーハイスレンドH,SH,850,300,16,25,18
SHH,スーパーハイスレンドH,SH,850,300,16,28,18
SHH,スーパーハイスレンドH,SH,850,300,16,32,18
SHH,スーパーハイスレンドH,SH,850,350,16,25,18
SHH,スーパーハイスレンドH,SH,850,350,16,28,18
SHH,スーパーハイスレンドH,SH,850,350,16,32,18
SHH,スーパーハイスレンドH,SH,850,350,19,28,18
SHH,スーパーハイスレンドH,SH,850,350,19,32,18
SHH,スーパーハイスレンドH,SH,850,350,19,36,18
SHH,スーパーハイスレンドH,SH,850,350,19,40,18
SHH,スーパーハイスレンドH,SH,850,400,16,25,18
SHH,スーパーハイスレンドH,SH,850,400,16,28,18
SHH,スーパーハイスレンドH,SH,850,400,16,32,18
SHH,スーパーハイスレンドH,SH,850,400,19,28,18
SHH,スーパーハイスレンドH,SH,850,400,19,32,18
SHH,スーパーハイスレンドH,SH,850,400,19,36,18
SHH,スーパーハイスレンドH,SH,850,400,19,40,18
SHH,スーパーハイスレンドH,SH,900,250,14,19,18
SHH,スーパーハイスレンドH,SH,900,250,14,22,18
SHH,スーパーハイスレンドH,SH,900,250,14,25,18
SHH,スーパーハイスレンドH,SH,900,250,16,19,18
SHH,スーパーハイスレンドH,SH,900,250,16,22,18
SHH,スーパーハイスレンドH,SH,900,250,16,25,18
SHH,スーパーハイスレンドH,SH,900,250,16,28,18
SHH,スーパーハイスレンドH,SH,900,300,14,22,18
SHH,スーパーハイスレンドH,SH,900,300,14,25,18
SHH,スーパーハイスレンドH,SH,900,300,16,19,18
SHH,スーパーハイスレンドH,SH,900,300,16,22,18
SHH,スーパーハイスレンドH,SH,900,300,16,25,18
SHH,スーパーハイスレンドH,SH,900,300,16,28,18
SHH,スーパーハイスレンドH,SH,900,300,16,32,18
SHH,スーパーハイスレンドH,SH,900,300,19,22,18
SHH,スーパーハイスレンドH,SH,900,300,19,25,18
SHH,スーパーハイスレンドH,SH,900,300,19,28,18
SHH,スーパーハイスレンドH,SH,900,300,19,32,18
SHH,スーパーハイスレンドH,SH,900,300,19,36,18
SHH,スーパーハイスレンドH,SH,900,350,16,25,18
SHH,スーパーハイスレンドH,SH,900,350,16,28,18
SHH,スーパーハイスレンドH,SH,900,350,16,32,18
SHH,スーパーハイスレンドH,SH,900,350,19,25,18
SHH,スーパーハイスレンドH,SH,900,350,19,28,18
SHH,スーパーハイスレンドH,SH,900,350,19,32,18
SHH,スーパーハイスレンドH,SH,900,350,19,36,18
SHH,スーパーハイスレンドH,SH,900,350,19,40,18
SHH,スーパーハイスレンドH,SH,900,400,16,25,18
SHH,スーパーハイスレンドH,SH,900,400,16,28,18
SHH,スーパーハイスレンドH,SH,900,400,16,32,18
SHH,スーパーハイスレンドH,SH,900,400,19,28,18
